x,split,baseline_residual,corrected_residual
5.571964956195244,train,0.0031624003656451904,-0.09175146214125185
5.602002503128911,train,0.009879332444539202,-0.04597369565963483
5.617021276595745,train,-0.18378720073444033,-0.21906392462253077
5.632040050062578,train,-0.2280292280801941,-0.242045612417372
5.662077596996245,train,-0.16928525943874462,-0.13878202494686764
5.677096370463079,train,-0.2058714697721351,-0.15214121806493797
5.692115143929912,train,-0.13035414021730496,-0.05277736999971605
5.722152690863579,train,-0.13200343041883844,-0.004964645598513506
5.737171464330413,train,-0.015492893303998834,0.13711101187074437
5.7521902377972465,train,-0.22839111408911972,-0.049703281765586915
5.782227784730914,train,-0.20362588011313854,0.028661490655561117
5.797246558197747,train,0.08711164251010839,0.3468470476896579
5.81226533166458,train,-0.10077502207795419,0.18679219512517342
5.842302878598248,train,-0.45775024408236664,-0.11352470500265177
5.857321652065081,train,-0.3562504300319542,0.016718829223562715
5.872340425531915,train,-0.47727095525089425,-0.07533958941183982
5.902377972465581,train,-0.6194166577131526,-0.15908906279615564
5.9173967459324155,train,-0.3802942513658891,0.10937246302008852
5.932415519399249,train,-0.1721732278972805,0.34686122929217067
5.962453066332916,train,-0.826918507332965,-0.2492651092111986
5.977471839799749,train,-0.4416370542657839,0.16516419704001972
5.992490613266583,train,-0.5178761622071795,0.11789516060772698
6.02252816020025,train,-0.8985306587792232,-0.2055655128735312
6.037546933667084,train,-0.8089114971362186,-0.0878297488621902
6.052565707133917,train,-0.7281369330342269,0.020669648003885044
6.0826032540675845,train,-0.7737400272433232,0.02912707226950495
6.097622027534418,train,-0.7728308014589258,0.056265974998025214
6.112640801001251,train,-0.8188146995375547,0.035908284317610395
6.142678347934918,train,-1.0052665922926671,-0.10130619278612674
6.157697121401752,train,-0.9783051041924731,-0.05083330768561911
6.172715894868586,train,-0.8966344061176192,0.0535460005833146
6.202753441802253,train,-0.8636105540117542,0.12939328085821433
6.217772215269086,train,-0.7202123546108146,0.29281754464901244
6.232790988735919,train,-0.9448902133620338,0.08718573026786292
6.262828535669587,train,-0.8445969719991417,0.2224738255168921
6.27784730913642,train,-1.3711747439151987,-0.2882284708963203
6.292866082603254,train,-1.266000254604081,-0.16830496851496868
6.3229036295369205,train,-0.843410002022134,0.28028272473918037
6.337922403003755,train,-1.0039117276799185,0.13097510460238393
6.352941176470588,train,-1.3465904855417579,-0.20174449097399183
6.382978723404255,train,-1.5079037920221832,-0.3469236610126374
6.397997496871088,train,-1.4683946064964428,-0.3012722099740732
6.4130162703379225,train,-0.7916834238985855,0.3802809689639961
6.443053817271589,train,-0.9178155092980465,0.2598982020135727
6.458072590738423,train,-1.345228722929253,-0.16661732927054196
6.473091364205256,train,-1.120596210891513,0.05759333085248741
6.503128911138924,train,-1.1930752291683584,-0.01967513433981516
6.518147684605757,train,-1.3476140715542435,-0.1785679113338663
6.53316645807259,train,-1.7184241367831046,-0.5550241868743955
6.5632040050062574,train,-1.3723323133444305,-0.22404325129126335
6.578222778473092,train,-0.9487603568023317,0.1900999993144925
6.593241551939925,train,-1.1684146007141392,-0.040203416583546314
6.623279098873592,train,-1.2148851210788907,-0.11153338626343334
6.638297872340425,train,-0.9290124286216237,0.16018518715864172
6.653316645807259,train,-1.0096559079813616,0.06427924432434828
6.683354192740926,train,-0.857383522810828,0.18283825876340742
6.698372966207759,train,-1.0306828254170544,-0.008838708569494536
6.713391739674593,train,-0.5296712695849655,0.4728330804502372
6.74342928660826,train,-0.7917160764718547,0.1693880159848966
6.758448060075094,train,-0.9658870526836791,-0.02675698700912399
6.773466833541927,train,-1.1447000399139968,-0.22833344922409005
6.803504380475594,train,-0.9633951891509458,-0.09473779191743414
6.818523153942428,train,-0.8426474960760597,0.001159505036053332
6.833541927409262,train,-1.138965277488201,-0.3206077637211564
6.863579474342928,train,-0.8975477009212032,-0.1316889043842071
6.878598247809762,train,-0.5857491745531158,0.1531599915790478
6.8936170212765955,train,-0.8971771977635372,-0.1856178378776807
6.923654568210263,train,-0.8378362138801938,-0.18197716657801521
6.938673341677096,train,-0.6631328129344736,-0.03552491188489615
6.953692115143929,train,-0.9090244661692237,-0.3098694299606475
6.983729662077597,train,-0.5389362359785457,0.0029014024027924634
6.998748435544431,train,-0.41809287898287106,0.0949751581259557
7.013767209011264,train,-0.3401347985201255,0.1441515540018079
7.043804755944931,train,-0.44480667425670806,-0.017940455046486115
7.0588235294117645,train,-0.5310221368426555,-0.1327074999619393
7.073842302878598,train,-0.299348222552811,0.07057629885825101
7.103879849812265,train,-0.36988355213106416,-0.05609568608679982
7.118898623279098,train,-0.017283229246645604,0.2688339846901453
7.133917396745932,train,-0.12707462434118177,0.13168504969465022
7.163954943679599,train,-0.2942664160122437,-0.08914831808625401
7.178973717146433,train,-0.3834377107891118,-0.2045408202813226
7.193992490613266,train,-0.07970891888958676,0.0734054588084021
7.2240300375469335,train,-0.046239404673425355,0.05673223251714088
7.239048811013767,train,0.20306076572993081,0.28172074036319295
7.254067584480601,train,-0.2652261053450191,-0.2103419899061274
7.284105131414267,train,-0.1609827702013913,-0.15196595048398365
7.299123904881101,train,0.036554159075674164,0.023513493005030917
7.314142678347935,train,-0.02474307053697089,-0.059237490455148034
7.344180225281602,train,0.15737033414341806,0.08182781310328835
7.359198998748435,train,-0.11595651197709866,-0.2110736203436172
7.374217772215268,train,0.2559942407866691,0.14194586472023119
7.404255319148936,train,-0.03814044261631189,-0.18810021523514386
7.41927409261577,train,0.11002455631844565,-0.056908703825868656
7.434292866082603,train,0.2233012163362691,0.04005116950814358
7.46433041301627,train,0.07783119619909584,-0.13608531562799708
7.479349186483104,train,0.4124494319666354,0.18417832785152388
7.494367959949937,train,0.019935577846398544,-0.22204312719893515
7.524405506883604,train,-0.19313497010235992,-0.4606114683464275
7.539424280350437,train,0.49820516006970905,0.21892388213384795
7.5544430538172715,train,-0.023195044438794277,-0.3136631579736484
7.584480600750938,train,0.26024075388647994,-0.05078733308496286
7.599499374217772,train,0.5128545761495822,0.19243111954653003
7.614518147684605,train,0.374295817211757,0.045050598444619894
7.644555694618273,train,0.3457532283593183,0.0005326824901841221
7.659574468085106,train,0.26661827219060896,-0.0857836933113596
7.67459324155194,train,0.5879000605646612,0.2288346919329074
7.7046307884856065,train,0.39776209308295574,0.02686273428217767
7.719649561952441,train,0.4421940763406216,0.06609254074054949
7.734668335419274,train,0.42812866060295374,0.047279889511956164
7.764705882352941,train,0.5347894061751104,0.14574463072070198
7.779724655819774,train,0.7006789632953812,0.3081517596615244
7.7947434292866085,train,0.29363293708747307,-0.10198898475915907
7.824780976220275,train,0.4642770859613856,0.06356034190882554
7.839799749687109,train,0.2904858572403315,-0.11226532376394616
7.854818523153942,train,0.6663002212126328,0.2618337171396359
7.88485607008761,train,0.47107378106267106,0.06406570722442417
7.899874843554443,train,0.38862638895484913,-0.019241818488962892
7.914893617021276,train,0.4198436749963106,0.011366728269498694
7.944931163954943,train,0.6617698596833499,0.2527634920455659
7.959949937421777,train,0.5157083191424441,0.10674870163728833
7.974968710888611,train,0.6753290075232297,0.2666024402359941
8.005006257822277,train,0.16561119603425567,-0.24215288801131418
8.02002503128911,train,0.2727105415310822,-0.13435467746799112
8.035043804755945,train,0.4415218398891527,0.03528068483219737
8.065081351689612,train,0.3866934339297883,-0.01758172368414268
8.080100125156445,train,0.628930216547662,0.22576898690991953
8.095118898623278,train,0.2352040486699405,-0.16677403313738548
8.125156445556946,train,0.36294205272364266,-0.036513963594440035
8.14017521902378,train,0.42885332995736114,0.03071130553815582
8.155193992490613,train,0.4774845969649961,0.08067596613969741
8.18523153942428,train,0.6762028832477807,0.2820742424335716
